"Manufacturer Name";"Product Code";"Model Number";"Product Name";"Retailer Product Code";"Category";"Product URL";"Image URL";"Stock";"Product Price";"Currency"
"PHILIPS";"8711500715982";"";"Tub fluorescent T5 Philips TL Mini 6W/54, G5, lumina rece";"PS00369";"PH SURSE";"http://etbm.ro/tub-fluorescent-t5-philips-tl-mini-6w54-g5-lumina-rece";"http://etbm.ro/\content\images\thumbs\0013302_tub-fluorescent-t5-philips-tl-mini-6w54-g5-lumina-rece.jpeg";"1";"9.84";"RON"
"PHILIPS";"8711500626950";"";"Tub fluorescent T5 Philips TL Mini Super 80 8W, G5, lumina neutra";"PS00372";"PH SURSE";"http://etbm.ro/tub-fluorescent-t5-philips-tl-mini-super-80-8w-g5-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013304_tub-fluorescent-t5-philips-tl-mini-super-80-8w-g5-lumina-neutra.jpeg";"393";"12.80";"RON"
"PHILIPS";"8711500726902";"";"Tub fluorescent Philips TL-D Blue 18W, T8, G13";"PS00377";"PH SURSE";"http://etbm.ro/tub-fluorescent-philips-tl-d-blue-18w-t8-g13";"http://etbm.ro/\content\images\thumbs\0013244_tub-fluorescent-philips-tl-d-blue-18w-t8-g13.jpeg";"17";"31.86";"RON"
"PHILIPS";"8711500631626";"";"Tub fluorescent T8 Philips Master TL-D Super 80 18W, G13, lumina calda, 2700k";"PS00379";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-18w-g13-lumina-calda-2700k";"http://etbm.ro/\content\images\thumbs\0013253_tub-fluorescent-t8-philips-master-tl-d-super-80-18w-g13-lumina-calda-2700k.jpeg";"2053";"6.02";"RON"
"PHILIPS";"8711500631657";"";"Tub fluorescent T8 Philips Master TL-D Super 80 18W, G13, lumina calda, 3000k";"PS00380";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-18w-g13-lumina-calda-3000k";"http://etbm.ro/\content\images\thumbs\0013254_tub-fluorescent-t8-philips-master-tl-d-super-80-18w-g13-lumina-calda-3000k.jpeg";"1667";"5.87";"RON"
"PHILIPS";"8711500727541";"";"Tub fluorescent Philips TL-D Blue 36W, T8, G13";"PS00384";"PH SURSE";"http://etbm.ro/tub-fluorescent-philips-tl-d-blue-36w-t8-g13";"http://etbm.ro/\content\images\thumbs\0013245_tub-fluorescent-philips-tl-d-blue-36w-t8-g13.jpeg";"50";"48.46";"RON"
"PHILIPS";"8711500706225";"";"Tub fluorescent T8 Philips Master TL-D Food 36W/79, G13, lumina neutra";"PS00385";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-food-36w79-g13-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013234_tub-fluorescent-t8-philips-master-tl-d-food-36w79-g13-lumina-neutra.jpeg";"55";"48.03";"RON"
"PHILIPS";"8711500631923";"";"Tub fluorescent T8 Philips Master TL-D Super 80 36W, G13, lumina calda, 2700k";"PS00387";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-36w-g13-lumina-calda-2700k";"http://etbm.ro/\content\images\thumbs\0013261_tub-fluorescent-t8-philips-master-tl-d-super-80-36w-g13-lumina-calda-2700k.jpeg";"1159";"7.12";"RON"
"PHILIPS";"8711500631954";"";"Tub fluorescent T8 Philips Master TL-D Super 80 36W, G13, lumina calda, 3000k";"PS00388";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-36w-g13-lumina-calda-3000k";"http://etbm.ro/\content\images\thumbs\0013262_tub-fluorescent-t8-philips-master-tl-d-super-80-36w-g13-lumina-calda-3000k.jpeg";"606";"7.12";"RON"
"PHILIPS";"8711500632012";"";"Tub fluorescent T8 Philips Master TL-D Super 80 36W, G13, lumina neutra";"PS00389";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-36w-g13-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013263_tub-fluorescent-t8-philips-master-tl-d-super-80-36w-g13-lumina-neutra.jpeg";"2238";"7.12";"RON"
"PHILIPS";"8711500632135";"";"Tub fluorescent T8 Philips Master TL-D Super 80 58W, G13, lumina calda, 3000k";"PS00391";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-58w-g13-lumina-calda-3000k";"http://etbm.ro/\content\images\thumbs\0013267_tub-fluorescent-t8-philips-master-tl-d-super-80-58w-g13-lumina-calda-3000k.jpeg";"2826";"8.40";"RON"
"PHILIPS";"8711500632197";"";"Tub fluorescent T8 Philips Master TL-D Super 80 58W, G13, lumina neutra, 4000k";"PS00392";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-58w-g13-lumina-neutra-4000k";"http://etbm.ro/\content\images\thumbs\0013268_tub-fluorescent-t8-philips-master-tl-d-super-80-58w-g13-lumina-neutra-4000k.jpeg";"3529";"8.40";"RON"
"PHILIPS";"8711500706218";"";"Tub fluorescent T8 Philips Master TL-D Food 18W/79 1SL, G13, lumina neutra";"PS00394";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-food-18w79-1sl-g13-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013240_tub-fluorescent-t8-philips-master-tl-d-food-18w79-1sl-g13-lumina-neutra.jpeg";"130";"48.03";"RON"
"PHILIPS";"8711500706249";"";"Tub fluorescent T8 Philips Master TL-D Food 30W/79, G13, lumina neutra";"PS00395";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-food-30w79-g13-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013228_tub-fluorescent-t8-philips-master-tl-d-food-30w79-g13-lumina-neutra.jpeg";"41";"48.03";"RON"
"PHILIPS";"8711500706232";"";"Tub fluorescent T8 Philips Master TL-D Food 58W/79, G13, lumina calda";"PS00397";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-food-58w79-g13-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013235_tub-fluorescent-t8-philips-master-tl-d-food-58w79-g13-lumina-calda.jpeg";"56";"48.86";"RON"
